stop_id,routes,cross_street,on_street,dept_name
612,66,700 WEST (driveway),CHICAGO,Bus Operations
613,66,HALSTED,CHICAGO,Bus Operations
615,66,SANGAMON (west leg),CHICAGO,Bus Operations
617,66,MAY/MILWAUKEE/BLUE LINE,CHICAGO,Bus Operations
618,66,RACINE,CHICAGO,Bus Operations
620,66,NOBLE,CHICAGO,Bus Operations
621,66,GREENVIEW,CHICAGO,Bus Operations
622,66,ASHLAND,CHICAGO,Bus Operations
623,66,PAULINA,CHICAGO,Bus Operations
625,66,WOLCOTT,CHICAGO,Bus Operations
629,66,OAKLEY,CHICAGO,Bus Operations
631,66,CAMPBELL,CHICAGO,Bus Operations
633,66,WASHTENAW,CHICAGO,Bus Operations
636,52&66,GRAND,CHICAGO,Bus Operations
638,52&66,SACRAMENTO(west serv.dr.),CHICAGO,Bus Operations
641,66,SPAULDING,CHICAGO,Bus Operations
643,66,ST. LOUIS,CHICAGO,Bus Operations
644,66,CENTRAL PARK,CHICAGO,Bus Operations
647,66,SPRINGFIELD,CHICAGO,Bus Operations
648,66,PULASKI,CHICAGO,Bus Operations
649,66,KARLOV,CHICAGO,Bus Operations
650,66,KEELER,CHICAGO,Bus Operations
651,66,KILDARE,CHICAGO,Bus Operations
653,66,KILBOURN (east leg),CHICAGO,Bus Operations
654,66,KILPATRICK,CHICAGO,Bus Operations
656,66,LAMON,CHICAGO,Bus Operations
658,66,LECLAIRE,CHICAGO,Bus Operations
660,66,LOCKWOOD,CHICAGO,Bus Operations
662,66,PINE,CHICAGO,Bus Operations
663,66,CENTRAL,CHICAGO,Bus Operations
665,66,WALLER,CHICAGO,Bus Operations
667,66,MAYFIELD,CHICAGO,Bus Operations
668,65&74,NORDICA,GRAND,Bus Operations
669,65&74,SAYRE,GRAND,Bus Operations
670,65&74,NEWLAND,GRAND,Bus Operations
671,65&74,NEWCASTLE (east leg),GRAND,Bus Operations
672,65&74,OAK PARK,GRAND,Bus Operations
677,65,MOBILE,GRAND,Bus Operations
680,65,AUSTIN,GRAND,Bus Operations
681,65,MARMORA,GRAND,Bus Operations
683,65,MAJOR,GRAND,Bus Operations
685,65,5500 WEST,GRAND,Bus Operations
686,65,LONG,GRAND,Bus Operations
689,57&65&73,LARAMIE,GRAND,Bus Operations
690,65,LECLAIRE/ARMITAGE,GRAND,Bus Operations
691,65,LAMON,GRAND,Bus Operations
692,65,CICERO,GRAND,Bus Operations
693,65,4701 WEST,GRAND,Bus Operations
694,65,KENTON,GRAND,Bus Operations
695,65,KILBOURN,GRAND,Bus Operations
696,65,KOSTNER,GRAND,Bus Operations
698,65,KILDARE,GRAND,Bus Operations
700,65,KARLOV,GRAND,Bus Operations
702,65,SPRINGFIELD,GRAND,Bus Operations
703,65,HAMLIN,GRAND,Bus Operations
704,65,LAWNDALE,GRAND,Bus Operations
707,65,DRAKE,GRAND,Bus Operations
708,65,THOMAS,GRAND,Bus Operations
709,65,HOMAN,GRAND,Bus Operations
710,65,AUGUSTA,GRAND,Bus Operations
712,65,ALBANY,GRAND,Bus Operations
713,65,SACRAMENTO(west serv.dr.),GRAND,Bus Operations
714,65,SACRAMENTO BLVD.,GRAND,Bus Operations
715,65,CHICAGO,GRAND,Bus Operations
716,65,CALIFORNIA,GRAND,Bus Operations
717,65,WASHTENAW,GRAND,Bus Operations
718,65,TALMAN,GRAND,Bus Operations
719,65,ROCKWELL,GRAND,Bus Operations
720,65,CAMPBELL,GRAND,Bus Operations
721,65,WESTERN,GRAND,Bus Operations
722,65,OAKLEY,GRAND,Bus Operations
723,65,LEAVITT,GRAND,Bus Operations
724,65,HOYNE,GRAND,Bus Operations
725,65,DAMEN,GRAND,Bus Operations
726,65,WOLCOTT,GRAND,Bus Operations
727,65,WOOD,GRAND,Bus Operations
728,65,PAULINA,GRAND,Bus Operations
729,65,ASHLAND,GRAND,Bus Operations
730,65,ARMOUR,GRAND,Bus Operations
731,65,NOBLE,GRAND,Bus Operations
735,65,ABERDEEN,GRAND,Bus Operations
736,65,MORGAN,GRAND,Bus Operations
737,65,PEORIA,GRAND,Bus Operations
738,33&65,HALSTED/MILWAUKEE,GRAND,Bus Operations
739,65,UNION,GRAND,Bus Operations
741,65,530 WEST RR CROSSING,GRAND,Bus Operations
742,65,KINGSBURY,GRAND,Bus Operations
743,65,ORLEANS,GRAND,Bus Operations
744,65,FRANKLIN,GRAND,Bus Operations
745,65,WELLS,GRAND,Bus Operations
746,65,LASALLE,ILLINOIS,Bus Operations
747,65,CLARK,ILLINOIS,Bus Operations
750,29&65,RUSH,ILLINOIS,Bus Operations
751,29&65,MICHIGAN (lower),ILLINOIS lower,Bus Operations
754,2&29&65&66&120&121&124,McCLURG,ILLINOIS,Bus Operations
755,2&29&65&66&120&121&124,PESHTIGO,ILLINOIS,Bus Operations
756,2&29&65&66&120&121&124,LAKE SHORE,ILLINOIS,Bus Operations
